0.016,-0.762,0.766
0.02,-0.762,0.773
0.035,-0.758,0.781
0.035,-0.762,0.793
0.047,-0.766,0.801
0.051,-0.77,0.801
0.055,-0.77,0.789
0.055,-0.77,0.77
0.051,-0.762,0.754
0.039,-0.77,0.73
0.031,-0.773,0.711
0.023,-0.777,0.691
0.008,-0.773,0.684
0.008,-0.762,0.672
0.008,-0.75,0.664
0.016,-0.738,0.652
0.023,-0.723,0.641
0.039,-0.711,0.633
0.047,-0.703,0.625
0.051,-0.695,0.625
0.039,-0.699,0.625
0.035,-0.703,0.617
0.027,-0.703,0.613
0.023,-0.707,0.613
0.02,-0.715,0.617
0.02,-0.73,0.613
0.02,-0.746,0.617
0.02,-0.762,0.617
0.02,-0.773,0.617
0.008,-0.781,0.613
-0.004,-0.797,0.613
-0.02,-0.813,0.617
-0.027,-0.824,0.613
-0.02,-0.836,0.613
-0.016,-0.844,0.613
0.004,-0.848,0.617
0.02,-0.852,0.633
0.031,-0.859,0.648
0.043,-0.863,0.68
0.043,-0.871,0.707
0.031,-0.879,0.723
0.027,-0.895,0.75
0.02,-0.895,0.754
0.008,-0.875,0.746
-0.004,-0.859,0.75
-0.008,-0.852,0.754
0.0,-0.867,0.75
0.004,-0.875,0.742
0.008,-0.883,0.727
-0.004,-0.883,0.719
-0.008,-0.879,0.719
-0.008,-0.871,0.719
0.016,-0.867,0.734
0.051,-0.867,0.754
0.094,-0.855,0.781
0.125,-0.828,0.805
0.137,-0.781,0.801
0.125,-0.734,0.777
0.109,-0.68,0.746
0.094,-0.637,0.703
0.09,-0.629,0.676
0.105,-0.645,0.66
0.125,-0.684,0.652
0.152,-0.734,0.656
0.172,-0.789,0.652
0.176,-0.824,0.648
0.16,-0.836,0.648
0.141,-0.824,0.637
0.121,-0.797,0.625
0.098,-0.77,0.629
0.078,-0.754,0.641
0.074,-0.746,0.656
0.07,-0.75,0.668
0.074,-0.754,0.676
0.086,-0.746,0.676
0.098,-0.742,0.676
0.109,-0.723,0.668
0.113,-0.715,0.676
0.109,-0.707,0.691
0.109,-0.707,0.703
0.113,-0.703,0.715
0.113,-0.703,0.727
0.109,-0.707,0.727
0.109,-0.711,0.719
0.105,-0.707,0.699
0.098,-0.707,0.68
0.098,-0.703,0.668
0.094,-0.703,0.664
0.09,-0.703,0.664
0.086,-0.711,0.66
0.066,-0.715,0.645
0.059,-0.727,0.637
0.059,-0.727,0.621
0.055,-0.734,0.598
0.043,-0.738,0.582
0.035,-0.734,0.566
0.035,-0.734,0.551
0.043,-0.738,0.543
0.055,-0.75,0.543
0.078,-0.77,0.551
0.09,-0.797,0.563
0.094,-0.824,0.555
0.09,-0.828,0.535
0.086,-0.82,0.527
0.066,-0.813,0.516
0.055,-0.813,0.523
0.047,-0.832,0.547
0.039,-0.855,0.574
0.047,-0.883,0.605
0.059,-0.906,0.625
0.066,-0.918,0.625
0.059,-0.926,0.633
0.043,-0.91,0.656
0.035,-0.918,0.695
0.031,-0.938,0.73
0.027,-0.957,0.75
0.027,-0.973,0.785
0.047,-0.992,0.816
0.074,-1.008,0.832
0.09,-1.016,0.848
0.102,-1.0,0.855
0.113,-0.949,0.867
0.113,-0.859,0.891
0.102,-0.754,0.91
0.082,-0.645,0.91
0.07,-0.555,0.895
0.059,-0.5,0.871
0.047,-0.48,0.836
0.035,-0.508,0.809
0.035,-0.566,0.781
0.035,-0.645,0.766
0.039,-0.719,0.758
0.059,-0.773,0.742
0.078,-0.813,0.715
0.094,-0.816,0.695
0.098,-0.797,0.684
0.102,-0.762,0.672
0.102,-0.73,0.66
0.105,-0.715,0.652
0.113,-0.707,0.652
0.109,-0.723,0.648
0.121,-0.738,0.652
0.121,-0.734,0.648
0.113,-0.738,0.641
0.105,-0.73,0.637
0.105,-0.719,0.637
0.113,-0.703,0.633
0.117,-0.691,0.633
0.117,-0.68,0.637
0.117,-0.688,0.641
0.113,-0.699,0.633
0.105,-0.711,0.625
0.102,-0.719,0.613
0.094,-0.719,0.605
0.082,-0.723,0.594
0.082,-0.715,0.586
0.074,-0.707,0.59
0.078,-0.691,0.59
0.07,-0.688,0.582
0.063,-0.688,0.582
0.055,-0.707,0.582
0.043,-0.734,0.586
0.035,-0.762,0.582
0.023,-0.793,0.574
0.023,-0.816,0.57
0.023,-0.832,0.563
0.02,-0.84,0.555
0.016,-0.844,0.563
0.008,-0.859,0.57
0.008,-0.879,0.586
0.004,-0.902,0.609
0.012,-0.934,0.641
0.023,-0.961,0.68
0.043,-0.988,0.703
0.055,-1.012,0.711
0.051,-1.031,0.727
0.043,-1.059,0.738
0.043,-1.066,0.738
0.039,-1.063,0.734
0.031,-1.043,0.746
0.027,-1.012,0.75
0.027,-0.961,0.77
0.039,-0.895,0.793
0.055,-0.809,0.824
0.082,-0.727,0.844
0.109,-0.648,0.844
0.137,-0.578,0.824
0.148,-0.531,0.816
0.164,-0.512,0.797
0.18,-0.523,0.781
0.191,-0.578,0.766
0.23,-0.664,0.758
0.242,-0.75,0.742
0.238,-0.813,0.715
0.219,-0.824,0.684
0.18,-0.789,0.66
0.129,-0.73,0.652
0.082,-0.699,0.68
0.047,-0.688,0.711
0.023,-0.699,0.727
0.02,-0.715,0.727
0.023,-0.734,0.715
0.043,-0.734,0.688
0.066,-0.723,0.68
0.082,-0.699,0.68
0.086,-0.688,0.688
0.074,-0.68,0.695
0.07,-0.672,0.703
0.078,-0.668,0.703
0.074,-0.676,0.691
0.086,-0.684,0.684
0.098,-0.691,0.68
0.102,-0.707,0.664
0.094,-0.707,0.656
0.09,-0.723,0.645
0.078,-0.734,0.625
0.07,-0.738,0.617
0.07,-0.73,0.609
0.074,-0.73,0.586
0.086,-0.719,0.57
0.098,-0.711,0.551
0.105,-0.703,0.535
0.109,-0.703,0.52
0.105,-0.699,0.512
0.102,-0.715,0.516
0.109,-0.746,0.527
0.133,-0.785,0.535
0.16,-0.824,0.539
0.172,-0.855,0.539
0.176,-0.879,0.531
0.172,-0.891,0.52
0.164,-0.891,0.516
0.148,-0.891,0.543
0.125,-0.898,0.59
0.117,-0.902,0.641
0.113,-0.918,0.691
0.121,-0.938,0.73
0.121,-0.98,0.762
0.117,-1.023,0.738
0.098,-1.035,0.699
0.059,-1.004,0.719
0.066,-0.969,0.797
0.074,-0.926,0.852
0.078,-0.863,0.891
0.074,-0.785,0.926
0.055,-0.703,0.934
0.016,-0.625,0.926
-0.031,-0.57,0.926
-0.086,-0.551,0.93
-0.125,-0.578,0.93
-0.137,-0.648,0.93
-0.125,-0.727,0.914
-0.086,-0.797,0.879
-0.035,-0.809,0.824
0.02,-0.781,0.781
0.063,-0.73,0.762
0.09,-0.688,0.766
0.105,-0.656,0.758
0.113,-0.641,0.734
0.113,-0.648,0.707
0.117,-0.676,0.676
0.117,-0.711,0.645
0.109,-0.742,0.613
0.086,-0.754,0.594
0.063,-0.754,0.578
0.039,-0.75,0.57
0.027,-0.738,0.57
0.027,-0.719,0.57
0.039,-0.703,0.578
0.055,-0.684,0.586
0.066,-0.668,0.59
0.078,-0.668,0.586
0.082,-0.668,0.586
0.07,-0.668,0.578
0.059,-0.668,0.574
0.047,-0.668,0.57
0.035,-0.668,0.582
0.023,-0.672,0.586
0.012,-0.684,0.605
0.008,-0.703,0.617
0.02,-0.715,0.617
0.031,-0.73,0.617
0.043,-0.754,0.613
0.039,-0.777,0.613
0.031,-0.805,0.613
0.016,-0.836,0.609
-0.004,-0.871,0.613
-0.012,-0.902,0.613
-0.012,-0.926,0.625
0.008,-0.949,0.641
0.023,-0.977,0.66
0.051,-1.008,0.688
0.063,-1.027,0.703
0.07,-1.031,0.715
0.07,-1.023,0.734
0.063,-1.023,0.75
0.051,-1.02,0.758
0.043,-1.012,0.773
0.031,-0.988,0.793
0.031,-0.957,0.797
0.043,-0.93,0.789
0.051,-0.883,0.77
0.063,-0.813,0.762
0.059,-0.723,0.758
0.059,-0.629,0.758
0.063,-0.551,0.758
0.082,-0.504,0.762
0.105,-0.5,0.781
0.152,-0.555,0.793
0.199,-0.66,0.793
0.246,-0.77,0.773
0.254,-0.84,0.727
0.227,-0.836,0.68
0.172,-0.781,0.66
0.117,-0.723,0.672
0.059,-0.676,0.707
0.016,-0.672,0.754
-0.012,-0.688,0.773
-0.008,-0.715,0.766
0.016,-0.738,0.734
0.059,-0.746,0.699
0.09,-0.742,0.668
0.109,-0.719,0.656
0.117,-0.695,0.66
0.109,-0.68,0.672
0.098,-0.656,0.68
0.074,-0.645,0.68
0.059,-0.641,0.672
0.043,-0.641,0.656
0.051,-0.648,0.652
0.063,-0.66,0.645
0.078,-0.684,0.641
0.094,-0.699,0.637
0.102,-0.711,0.617
0.102,-0.703,0.59
0.094,-0.695,0.578
0.078,-0.684,0.574
0.066,-0.672,0.578
0.063,-0.664,0.594
0.07,-0.672,0.605
0.086,-0.691,0.613
0.109,-0.73,0.629
0.137,-0.766,0.613
0.152,-0.789,0.582
0.16,-0.82,0.559
0.148,-0.844,0.531
0.137,-0.859,0.535
0.113,-0.867,0.563
0.09,-0.879,0.609
0.078,-0.895,0.68
0.102,-0.938,0.777
0.137,-1.023,0.848
0.156,-1.113,0.82
0.129,-1.156,0.773
0.09,-1.133,0.766
0.074,-1.07,0.805
0.074,-0.969,0.852
0.086,-0.844,0.902
0.102,-0.719,0.953
0.098,-0.613,0.973
0.078,-0.555,0.953
0.043,-0.539,0.91
0.008,-0.559,0.879
-0.016,-0.605,0.84
-0.023,-0.66,0.805
-0.012,-0.711,0.777
0.012,-0.734,0.754
0.047,-0.727,0.727
0.082,-0.703,0.707
0.105,-0.691,0.699
0.113,-0.715,0.707
0.109,-0.746,0.695
0.094,-0.77,0.68
0.07,-0.777,0.652
0.047,-0.77,0.629
0.023,-0.738,0.621
0.012,-0.715,0.625
0.008,-0.691,0.633
0.012,-0.672,0.625
0.02,-0.672,0.625
0.035,-0.668,0.617
0.051,-0.664,0.617
0.063,-0.664,0.617
0.063,-0.664,0.613
0.063,-0.668,0.613
0.063,-0.664,0.605
0.051,-0.668,0.609
0.043,-0.668,0.605
0.035,-0.672,0.598
0.016,-0.676,0.594
0.004,-0.672,0.605
0.016,-0.68,0.621
0.02,-0.691,0.629
0.023,-0.715,0.633
0.023,-0.742,0.633
0.02,-0.77,0.633
0.008,-0.785,0.625
-0.008,-0.813,0.641
-0.02,-0.84,0.652
-0.039,-0.875,0.68
-0.059,-0.91,0.695
-0.078,-0.941,0.707
-0.082,-0.957,0.711
-0.07,-0.949,0.719
-0.047,-0.945,0.738
-0.012,-0.953,0.77
0.016,-0.988,0.809
0.035,-1.031,0.84
0.043,-1.07,0.836
0.035,-1.074,0.813
0.027,-1.07,0.797
0.023,-1.039,0.77
0.023,-0.98,0.742
0.031,-0.906,0.727
0.043,-0.816,0.715
0.051,-0.727,0.695
0.07,-0.656,0.691
0.094,-0.609,0.703
0.121,-0.586,0.727
0.148,-0.602,0.742
0.172,-0.648,0.754
0.176,-0.695,0.762
0.172,-0.73,0.758
0.168,-0.727,0.746
0.156,-0.691,0.73
0.141,-0.641,0.73
0.125,-0.602,0.734
0.121,-0.594,0.746
0.113,-0.617,0.762
0.113,-0.66,0.773
0.117,-0.707,0.766
0.121,-0.734,0.746
0.121,-0.742,0.727
0.117,-0.734,0.699
0.117,-0.715,0.688
0.113,-0.695,0.684
0.109,-0.672,0.68
0.113,-0.664,0.68
0.105,-0.652,0.668
0.113,-0.645,0.656
0.105,-0.637,0.629
0.094,-0.629,0.621
0.07,-0.629,0.598
0.051,-0.621,0.586
0.035,-0.629,0.582
0.039,-0.641,0.586
0.07,-0.672,0.59
0.113,-0.703,0.59
0.152,-0.738,0.586
0.18,-0.762,0.574
0.191,-0.773,0.547
0.172,-0.77,0.531
0.152,-0.738,0.527
0.133,-0.715,0.547
0.133,-0.723,0.586
0.148,-0.77,0.625
0.172,-0.852,0.641
0.191,-0.926,0.637
0.199,-0.977,0.605
0.191,-0.984,0.582
0.176,-0.969,0.59
0.16,-0.938,0.633
0.148,-0.922,0.695
0.145,-0.945,0.789
0.145,-0.996,0.852
0.133,-1.035,0.852
0.113,-1.039,0.832
0.086,-1.016,0.805
0.07,-0.949,0.801
0.047,-0.855,0.813
0.023,-0.754,0.848
-0.008,-0.672,0.879
-0.031,-0.625,0.906
-0.055,-0.637,0.91
-0.063,-0.688,0.895
-0.051,-0.75,0.863
-0.02,-0.801,0.813
0.012,-0.805,0.766
0.039,-0.762,0.75
0.051,-0.691,0.762
0.063,-0.629,0.781
0.07,-0.59,0.785
0.082,-0.586,0.77
0.098,-0.602,0.742
0.105,-0.637,0.707
0.113,-0.68,0.684
0.109,-0.707,0.66
0.105,-0.711,0.641
0.082,-0.703,0.633
0.055,-0.688,0.625
0.031,-0.66,0.633
0.027,-0.652,0.648
0.047,-0.641,0.645
0.07,-0.637,0.637
0.09,-0.645,0.629
0.098,-0.648,0.621
0.086,-0.664,0.605
0.07,-0.676,0.605
0.043,-0.691,0.609
0.031,-0.699,0.613
0.023,-0.703,0.621
0.016,-0.703,0.617
0.012,-0.695,0.609
-0.004,-0.699,0.609
-0.008,-0.723,0.609
-0.008,-0.754,0.613
-0.016,-0.781,0.613
-0.016,-0.816,0.613
-0.008,-0.844,0.621
-0.012,-0.863,0.629
-0.004,-0.883,0.645
-0.008,-0.91,0.66
-0.023,-0.938,0.684
-0.031,-0.953,0.699
-0.035,-0.961,0.711
-0.039,-0.949,0.715
-0.035,-0.941,0.738
-0.023,-0.934,0.754
-0.02,-0.926,0.785
-0.031,-0.938,0.809
-0.023,-0.953,0.793
-0.016,-0.961,0.754
0.0,-0.953,0.723
0.023,-0.934,0.703
0.063,-0.898,0.703
0.094,-0.852,0.699
0.117,-0.793,0.699
0.145,-0.727,0.707
0.168,-0.688,0.734
0.195,-0.676,0.758
0.203,-0.691,0.77
0.199,-0.727,0.777
0.188,-0.766,0.777
0.168,-0.781,0.77
0.148,-0.773,0.746
0.133,-0.734,0.73
0.121,-0.703,0.738
0.109,-0.676,0.742
0.09,-0.668,0.746
0.063,-0.688,0.73
0.027,-0.719,0.711
0.02,-0.758,0.699
0.039,-0.777,0.668
0.07,-0.77,0.645
0.109,-0.758,0.629
0.141,-0.727,0.633
0.156,-0.707,0.633
0.156,-0.684,0.633
0.145,-0.668,0.629
0.125,-0.668,0.621
0.105,-0.68,0.617
0.09,-0.68,0.605
0.066,-0.68,0.594
0.051,-0.66,0.586
0.043,-0.637,0.586
0.043,-0.617,0.598
0.039,-0.617,0.605
0.055,-0.641,0.613
0.094,-0.68,0.625
0.125,-0.727,0.617
0.16,-0.758,0.598
0.18,-0.766,0.586
0.18,-0.75,0.57
0.16,-0.738,0.57
0.133,-0.727,0.578
0.113,-0.723,0.586
0.109,-0.734,0.605
0.121,-0.766,0.621
0.141,-0.816,0.625
0.168,-0.871,0.617
0.191,-0.922,0.598
0.191,-0.949,0.586
0.188,-0.953,0.602
0.172,-0.949,0.648
0.172,-0.949,0.707
0.164,-0.973,0.773
0.164,-1.004,0.801
0.148,-1.035,0.781
0.113,-1.027,0.766
0.082,-0.992,0.77
0.066,-0.953,0.777
0.043,-0.891,0.805
0.02,-0.82,0.848
0.0,-0.754,0.879
-0.023,-0.699,0.895
-0.047,-0.656,0.895
-0.059,-0.633,0.879
-0.055,-0.637,0.859
-0.023,-0.664,0.832
0.023,-0.68,0.816
0.066,-0.691,0.805
0.102,-0.695,0.805
0.109,-0.684,0.781
0.102,-0.68,0.754
0.094,-0.684,0.73
0.086,-0.691,0.703
0.086,-0.703,0.68
0.102,-0.715,0.66
0.109,-0.719,0.648
0.105,-0.723,0.633
0.09,-0.711,0.613
0.07,-0.695,0.602
0.055,-0.684,0.586
0.047,-0.68,0.582
0.039,-0.676,0.59
0.055,-0.684,0.602
0.07,-0.695,0.613
0.078,-0.699,0.613
0.074,-0.707,0.613
0.066,-0.699,0.605
0.055,-0.688,0.605
0.035,-0.672,0.602
0.027,-0.66,0.598
0.02,-0.664,0.598
0.02,-0.68,0.598
0.016,-0.695,0.602
0.016,-0.719,0.609
0.02,-0.738,0.609
0.023,-0.762,0.609
0.023,-0.789,0.613
0.02,-0.82,0.613
0.012,-0.855,0.613
-0.004,-0.875,0.621
-0.027,-0.891,0.629
-0.055,-0.906,0.637
-0.063,-0.914,0.656
-0.051,-0.926,0.684
-0.027,-0.934,0.711
-0.012,-0.949,0.746
0.0,-0.949,0.762
0.004,-0.941,0.77
-0.008,-0.953,0.781
-0.016,-0.977,0.793
0.0,-0.988,0.77
0.016,-0.988,0.77
0.043,-0.973,0.777
0.082,-0.941,0.785
0.102,-0.887,0.797
0.129,-0.801,0.793
0.141,-0.707,0.785
0.148,-0.637,0.793
0.164,-0.609,0.832
0.18,-0.613,0.84
0.172,-0.648,0.82
0.16,-0.699,0.793
0.156,-0.746,0.766
0.152,-0.777,0.73
0.148,-0.789,0.703
0.137,-0.777,0.695
0.129,-0.742,0.703
0.121,-0.715,0.711
0.109,-0.699,0.723
0.09,-0.695,0.719
0.051,-0.703,0.699
0.035,-0.719,0.676
0.031,-0.723,0.656
0.039,-0.711,0.641
0.063,-0.695,0.641
0.09,-0.684,0.645
0.109,-0.668,0.648
0.133,-0.648,0.652
0.133,-0.633,0.66
0.129,-0.625,0.66
0.125,-0.621,0.652
0.113,-0.621,0.645
0.105,-0.625,0.625
0.098,-0.625,0.613
0.086,-0.621,0.598
0.074,-0.625,0.598
0.082,-0.637,0.598
0.094,-0.656,0.602
0.117,-0.676,0.59
0.141,-0.707,0.582
0.16,-0.73,0.574
0.156,-0.742,0.559
0.145,-0.742,0.543
0.125,-0.746,0.543
0.109,-0.75,0.566
0.098,-0.777,0.605
0.113,-0.824,0.633
0.148,-0.883,0.637
0.191,-0.926,0.617
0.215,-0.941,0.59
0.219,-0.93,0.57
0.203,-0.898,0.594
0.184,-0.871,0.656
0.176,-0.875,0.727
0.176,-0.91,0.781
0.18,-0.973,0.805
0.164,-1.016,0.758
0.129,-1.016,0.723
0.102,-0.98,0.727
0.074,-0.895,0.754
0.066,-0.793,0.809
0.059,-0.695,0.875
0.051,-0.629,0.941
0.047,-0.609,0.977
0.039,-0.637,0.977
0.047,-0.676,0.953
0.055,-0.727,0.922
0.074,-0.773,0.895
0.105,-0.801,0.871
0.129,-0.805,0.844
0.141,-0.785,0.82
0.141,-0.75,0.813
0.145,-0.707,0.801
0.141,-0.684,0.785
0.137,-0.676,0.762
0.141,-0.68,0.727
0.145,-0.703,0.691
0.148,-0.727,0.66
0.141,-0.73,0.625
0.121,-0.727,0.602
0.098,-0.699,0.586
0.078,-0.676,0.582
0.066,-0.66,0.586
0.051,-0.652,0.586
0.043,-0.645,0.582
0.039,-0.637,0.574
0.023,-0.633,0.563
0.02,-0.621,0.551
0.02,-0.609,0.539
0.023,-0.605,0.547
0.031,-0.609,0.559
0.043,-0.625,0.578
0.043,-0.645,0.598
0.047,-0.66,0.605
0.051,-0.691,0.609
0.039,-0.73,0.613
0.027,-0.77,0.629
0.016,-0.805,0.637
0.008,-0.828,0.633
0.004,-0.832,0.637
0.004,-0.828,0.652
-0.004,-0.844,0.68
0.0,-0.875,0.699
0.0,-0.922,0.711
-0.008,-0.977,0.719
-0.004,-1.012,0.719
0.008,-1.016,0.723
0.012,-1.02,0.738
0.031,-1.039,0.785
0.047,-1.051,0.789
0.07,-1.012,0.77
0.059,-0.953,0.801
0.063,-0.895,0.844
0.078,-0.836,0.855
0.105,-0.77,0.848
0.129,-0.703,0.832
0.156,-0.645,0.828
0.18,-0.609,0.82
0.195,-0.605,0.813
0.203,-0.633,0.789
0.195,-0.688,0.785
0.188,-0.758,0.785
0.188,-0.813,0.77
0.184,-0.84,0.738
0.176,-0.816,0.703
0.164,-0.77,0.691
0.148,-0.73,0.695
0.117,-0.707,0.711
0.078,-0.699,0.715
0.043,-0.703,0.715
0.027,-0.715,0.691
0.027,-0.719,0.664
0.039,-0.719,0.637
0.066,-0.711,0.621
0.098,-0.699,0.613
0.125,-0.684,0.613
0.145,-0.664,0.613
0.152,-0.648,0.617
0.152,-0.645,0.609
0.141,-0.648,0.598
0.129,-0.656,0.586
0.113,-0.668,0.578
0.09,-0.68,0.57
0.078,-0.688,0.566
0.078,-0.68,0.551
0.078,-0.676,0.547
0.082,-0.676,0.543
0.094,-0.676,0.539
0.109,-0.691,0.555
0.125,-0.727,0.566
0.141,-0.77,0.57
0.148,-0.805,0.559
0.152,-0.828,0.539
0.145,-0.832,0.527
0.141,-0.824,0.539
0.137,-0.813,0.574
0.145,-0.805,0.625
0.16,-0.828,0.66
0.195,-0.859,0.672
0.211,-0.898,0.668
0.211,-0.93,0.648
0.203,-0.953,0.637
0.176,-0.977,0.648
0.152,-1.0,0.703
0.113,-1.016,0.754
0.074,-0.996,0.781
0.059,-0.938,0.828
0.078,-0.879,0.875
0.109,-0.84,0.898
0.133,-0.797,0.898
0.129,-0.754,0.879
0.105,-0.699,0.867
0.09,-0.664,0.883
0.07,-0.645,0.902
0.063,-0.68,0.914
0.059,-0.746,0.91
0.07,-0.805,0.875
0.094,-0.82,0.82
0.102,-0.785,0.77
0.102,-0.73,0.754
0.102,-0.691,0.766
0.105,-0.66,0.777
0.113,-0.656,0.785
0.117,-0.668,0.762
0.117,-0.688,0.727
0.113,-0.695,0.691
0.098,-0.695,0.664
0.082,-0.688,0.652
0.063,-0.672,0.648
0.043,-0.656,0.648
0.031,-0.637,0.645
0.031,-0.625,0.637
0.035,-0.617,0.633
0.043,-0.621,0.621
0.055,-0.629,0.613
0.059,-0.629,0.605
0.059,-0.629,0.598
0.059,-0.637,0.59
0.055,-0.641,0.586
0.043,-0.648,0.59
0.039,-0.66,0.602
0.027,-0.672,0.605
0.027,-0.68,0.625
0.02,-0.707,0.637
0.012,-0.742,0.648
-0.004,-0.781,0.656
-0.016,-0.813,0.656
-0.023,-0.824,0.652
-0.012,-0.824,0.664
-0.004,-0.832,0.68
0.004,-0.852,0.703
-0.004,-0.879,0.719
-0.023,-0.902,0.734
-0.039,-0.922,0.742
-0.047,-0.938,0.742
-0.051,-0.938,0.738
-0.043,-0.934,0.75
-0.031,-0.922,0.773
-0.027,-0.938,0.813
-0.008,-0.961,0.832
0.012,-0.969,0.809
0.031,-0.957,0.785
0.043,-0.926,0.77
0.063,-0.883,0.754
0.09,-0.824,0.738
0.105,-0.762,0.73
0.117,-0.711,0.727
0.148,-0.668,0.738
0.18,-0.652,0.762
0.211,-0.664,0.793
0.223,-0.707,0.801
0.207,-0.742,0.805
0.172,-0.762,0.781
0.141,-0.75,0.762
0.129,-0.723,0.75
0.129,-0.691,0.75
0.129,-0.676,0.754
0.121,-0.676,0.754
0.105,-0.695,0.738
0.086,-0.711,0.723
0.063,-0.73,0.699
0.059,-0.734,0.676
0.063,-0.727,0.664
0.074,-0.715,0.652
0.098,-0.695,0.652
0.109,-0.684,0.652
0.109,-0.672,0.652
0.109,-0.672,0.645
0.098,-0.672,0.637
0.094,-0.668,0.625
0.094,-0.672,0.617
0.098,-0.676,0.613
0.109,-0.676,0.613
0.109,-0.672,0.605
0.105,-0.672,0.609
0.102,-0.668,0.602
0.105,-0.664,0.605
0.098,-0.66,0.598
0.105,-0.68,0.602
0.113,-0.699,0.602
0.137,-0.727,0.605
0.152,-0.746,0.602
0.16,-0.77,0.594
0.172,-0.781,0.594
0.176,-0.785,0.59
0.172,-0.785,0.586
0.16,-0.777,0.59
0.145,-0.785,0.602
0.125,-0.789,0.609
0.113,-0.816,0.617
0.117,-0.852,0.613
0.121,-0.898,0.621
0.141,-0.934,0.633
0.16,-0.977,0.652
0.176,-1.02,0.691
0.172,-1.066,0.73
0.145,-1.082,0.766
0.125,-1.078,0.813
0.113,-1.066,0.844
0.105,-1.023,0.848
0.09,-0.953,0.844
0.07,-0.859,0.832
0.051,-0.77,0.828
0.02,-0.703,0.836
-0.016,-0.668,0.84
-0.043,-0.676,0.828
-0.059,-0.703,0.797
-0.055,-0.734,0.762
-0.027,-0.754,0.727
0.004,-0.766,0.711
0.031,-0.758,0.715
0.047,-0.73,0.73
0.063,-0.688,0.758
0.059,-0.648,0.773
0.051,-0.621,0.781
