-0.039,-0.73,0.781
-0.043,-0.738,0.809
-0.051,-0.734,0.84
-0.047,-0.727,0.863
-0.035,-0.738,0.891
-0.008,-0.77,0.938
0.043,-0.801,0.988
0.078,-0.805,1.027
0.074,-0.793,1.055
0.051,-0.781,1.059
0.055,-0.758,1.039
0.086,-0.719,1.008
0.113,-0.688,0.973
0.137,-0.645,0.934
0.152,-0.582,0.914
0.168,-0.512,0.918
0.188,-0.461,0.922
0.207,-0.438,0.926
0.211,-0.441,0.926
0.207,-0.461,0.91
0.199,-0.48,0.891
0.191,-0.48,0.875
0.191,-0.48,0.848
0.188,-0.496,0.832
0.18,-0.516,0.832
0.16,-0.535,0.84
0.137,-0.547,0.859
0.125,-0.539,0.875
0.133,-0.523,0.879
0.141,-0.508,0.867
0.137,-0.516,0.859
0.125,-0.516,0.84
0.121,-0.516,0.824
0.117,-0.516,0.813
0.105,-0.531,0.797
0.09,-0.539,0.781
0.074,-0.555,0.777
0.07,-0.563,0.773
0.063,-0.574,0.762
0.059,-0.578,0.758
0.059,-0.578,0.738
0.059,-0.578,0.723
0.059,-0.578,0.707
0.066,-0.574,0.707
0.078,-0.582,0.707
0.09,-0.609,0.719
0.117,-0.637,0.742
0.125,-0.664,0.762
0.129,-0.676,0.777
0.125,-0.684,0.797
0.121,-0.684,0.797
0.121,-0.684,0.797
0.137,-0.688,0.805
0.145,-0.684,0.801
0.148,-0.695,0.805
0.145,-0.73,0.801
0.141,-0.793,0.797
0.133,-0.852,0.797
0.125,-0.883,0.809
0.121,-0.895,0.82
0.121,-0.887,0.832
0.137,-0.863,0.84
0.145,-0.836,0.844
0.148,-0.809,0.848
0.145,-0.766,0.844
0.152,-0.746,0.824
0.141,-0.75,0.785
0.063,-0.703,0.766
0.008,-0.598,0.781
0.004,-0.504,0.809
-0.047,-0.453,0.855
-0.133,-0.434,0.934
-0.16,-0.414,1.0
-0.168,-0.406,1.039
-0.156,-0.414,1.039
-0.113,-0.441,1.02
-0.066,-0.469,0.984
-0.051,-0.512,0.945
-0.039,-0.539,0.914
-0.012,-0.535,0.926
0.012,-0.539,0.957
0.012,-0.551,0.984
0.02,-0.547,0.996
0.039,-0.531,1.008
0.051,-0.523,1.0
0.055,-0.516,0.992
0.055,-0.512,0.98
0.059,-0.52,0.969
0.059,-0.535,0.953
0.055,-0.539,0.934
0.063,-0.551,0.914
0.078,-0.547,0.879
0.102,-0.535,0.84
0.113,-0.523,0.809
0.113,-0.52,0.777
0.109,-0.52,0.746
0.113,-0.527,0.727
0.113,-0.527,0.699
0.113,-0.52,0.68
0.086,-0.508,0.672
0.063,-0.504,0.66
0.043,-0.516,0.652
0.035,-0.539,0.645
0.023,-0.574,0.629
0.008,-0.617,0.625
-0.016,-0.676,0.625
-0.035,-0.742,0.645
-0.035,-0.793,0.668
-0.031,-0.82,0.699
-0.039,-0.816,0.75
-0.051,-0.793,0.813
-0.051,-0.777,0.875
-0.043,-0.762,0.918
-0.039,-0.754,0.949
-0.039,-0.734,0.977
-0.047,-0.699,1.012
-0.035,-0.652,1.023
-0.016,-0.617,1.004
0.004,-0.605,0.953
0.016,-0.59,0.902
0.055,-0.551,0.863
0.117,-0.484,0.852
0.145,-0.43,0.898
0.188,-0.418,0.973
0.227,-0.445,1.047
0.215,-0.508,1.102
0.188,-0.582,1.129
0.195,-0.648,1.117
0.215,-0.668,1.086
0.227,-0.648,1.039
0.215,-0.621,1.012
0.211,-0.609,0.984
0.195,-0.605,0.961
0.156,-0.602,0.945
0.109,-0.578,0.934
0.078,-0.543,0.91
0.066,-0.512,0.883
0.063,-0.488,0.84
0.051,-0.48,0.793
0.035,-0.477,0.758
0.02,-0.477,0.727
0.016,-0.465,0.711
0.023,-0.457,0.711
0.035,-0.457,0.715
0.035,-0.461,0.711
0.031,-0.469,0.699
0.035,-0.484,0.699
0.035,-0.508,0.691
0.047,-0.535,0.684
0.063,-0.578,0.695
0.082,-0.613,0.699
0.098,-0.66,0.711
0.102,-0.695,0.727
0.105,-0.715,0.738
0.117,-0.73,0.746
0.129,-0.742,0.754
0.148,-0.75,0.754
0.168,-0.758,0.754
0.176,-0.766,0.754
0.172,-0.766,0.758
0.168,-0.77,0.754
0.152,-0.77,0.754
0.148,-0.754,0.754
0.156,-0.719,0.77
0.172,-0.703,0.781
0.164,-0.723,0.809
0.137,-0.773,0.828
0.121,-0.816,0.844
0.109,-0.816,0.863
0.102,-0.816,0.867
0.105,-0.82,0.871
0.059,-0.836,0.887
-0.008,-0.824,0.898
-0.012,-0.773,0.906
0.012,-0.715,0.895
-0.016,-0.672,0.871
-0.078,-0.629,0.848
-0.129,-0.574,0.84
-0.152,-0.531,0.867
-0.16,-0.492,0.91
-0.16,-0.477,0.961
-0.16,-0.484,1.012
-0.164,-0.52,1.039
-0.152,-0.547,1.051
-0.121,-0.547,1.047
-0.074,-0.543,1.02
-0.031,-0.547,0.992
0.0,-0.555,0.969
0.031,-0.551,0.945
0.055,-0.535,0.941
0.055,-0.527,0.945
0.043,-0.523,0.941
0.031,-0.512,0.934
0.027,-0.512,0.918
0.027,-0.516,0.906
0.02,-0.52,0.883
0.031,-0.52,0.875
0.047,-0.516,0.859
0.059,-0.523,0.836
0.07,-0.531,0.813
0.074,-0.559,0.777
0.07,-0.57,0.754
0.066,-0.578,0.738
0.059,-0.574,0.715
0.055,-0.578,0.684
0.043,-0.602,0.66
0.031,-0.633,0.641
0.008,-0.652,0.625
-0.004,-0.66,0.625
-0.016,-0.648,0.641
-0.023,-0.629,0.648
-0.02,-0.598,0.656
-0.027,-0.563,0.664
-0.039,-0.547,0.664
-0.039,-0.574,0.676
-0.035,-0.637,0.688
-0.043,-0.707,0.691
-0.063,-0.762,0.707
-0.09,-0.77,0.742
-0.086,-0.758,0.777
-0.055,-0.758,0.82
0.016,-0.762,0.887
0.086,-0.746,0.941
0.129,-0.672,0.977
0.141,-0.586,1.008
0.145,-0.535,1.02
0.164,-0.52,1.023
0.191,-0.52,1.035
0.211,-0.543,1.051
0.223,-0.578,1.063
0.242,-0.621,1.07
0.27,-0.652,1.063
0.285,-0.668,1.035
0.277,-0.672,1.008
0.258,-0.652,0.988
0.238,-0.629,0.973
0.219,-0.617,0.953
0.195,-0.625,0.938
0.156,-0.629,0.926
0.125,-0.621,0.914
0.109,-0.594,0.895
0.125,-0.563,0.863
0.133,-0.535,0.836
0.129,-0.523,0.801
0.121,-0.516,0.766
0.109,-0.512,0.742
0.109,-0.508,0.727
0.102,-0.504,0.707
0.086,-0.508,0.688
0.07,-0.516,0.676
0.051,-0.531,0.668
0.043,-0.551,0.66
0.051,-0.559,0.66
0.063,-0.566,0.656
0.09,-0.578,0.66
0.113,-0.598,0.664
0.133,-0.625,0.672
0.141,-0.652,0.676
0.145,-0.664,0.68
0.145,-0.668,0.691
0.145,-0.672,0.707
0.145,-0.672,0.719
0.148,-0.68,0.734
0.156,-0.703,0.75
0.168,-0.695,0.766
0.188,-0.68,0.797
0.203,-0.668,0.828
0.203,-0.676,0.859
0.188,-0.707,0.891
0.16,-0.746,0.918
0.141,-0.766,0.941
0.129,-0.805,0.949
0.117,-0.828,0.949
0.059,-0.836,0.973
-0.035,-0.805,1.008
-0.07,-0.73,1.035
-0.059,-0.664,1.043
-0.082,-0.621,1.031
-0.121,-0.563,1.004
-0.133,-0.496,0.98
-0.137,-0.453,0.965
-0.133,-0.438,0.949
-0.137,-0.441,0.957
-0.148,-0.477,0.977
-0.156,-0.512,1.0
-0.156,-0.531,1.016
-0.141,-0.535,1.012
-0.121,-0.539,1.004
-0.109,-0.543,0.984
-0.086,-0.543,0.965
-0.059,-0.539,0.953
-0.035,-0.543,0.949
-0.012,-0.539,0.938
0.0,-0.523,0.934
0.0,-0.504,0.914
-0.016,-0.484,0.898
-0.004,-0.473,0.895
0.012,-0.477,0.863
0.016,-0.488,0.836
0.02,-0.496,0.816
0.023,-0.5,0.793
0.027,-0.504,0.773
0.027,-0.504,0.762
0.031,-0.512,0.738
0.039,-0.52,0.723
0.039,-0.535,0.719
0.035,-0.547,0.711
0.039,-0.563,0.711
0.043,-0.582,0.715
0.039,-0.598,0.715
0.031,-0.613,0.711
0.012,-0.625,0.711
0.0,-0.637,0.711
-0.008,-0.641,0.707
-0.004,-0.637,0.707
0.004,-0.629,0.703
0.004,-0.621,0.707
-0.012,-0.617,0.715
-0.031,-0.621,0.742
-0.043,-0.633,0.762
-0.051,-0.66,0.781
-0.043,-0.691,0.813
-0.039,-0.703,0.836
-0.051,-0.723,0.871
-0.066,-0.75,0.902
-0.066,-0.785,0.93
-0.059,-0.816,0.957
-0.047,-0.82,1.004
-0.02,-0.801,1.047
0.02,-0.746,1.07
0.023,-0.672,1.094
0.016,-0.602,1.086
0.023,-0.551,1.051
0.051,-0.512,1.004
0.078,-0.492,0.949
0.098,-0.492,0.918
0.109,-0.488,0.918
0.121,-0.496,0.93
0.137,-0.5,0.949
0.156,-0.5,0.969
0.16,-0.504,0.977
0.156,-0.52,0.969
0.156,-0.527,0.957
0.152,-0.531,0.941
0.156,-0.539,0.934
0.137,-0.539,0.918
0.102,-0.551,0.902
0.066,-0.559,0.883
0.047,-0.555,0.867
0.051,-0.543,0.84
0.055,-0.539,0.813
0.055,-0.539,0.781
0.051,-0.547,0.762
0.055,-0.551,0.75
0.051,-0.555,0.746
0.051,-0.555,0.738
0.043,-0.551,0.73
0.047,-0.551,0.723
0.051,-0.559,0.719
0.055,-0.574,0.719
0.055,-0.586,0.719
0.059,-0.602,0.719
0.074,-0.602,0.711
0.098,-0.602,0.711
0.113,-0.602,0.715
0.117,-0.605,0.711
0.121,-0.613,0.719
0.121,-0.625,0.719
0.125,-0.648,0.719
0.133,-0.676,0.73
0.133,-0.688,0.75
0.145,-0.68,0.77
0.164,-0.684,0.793
0.172,-0.699,0.82
0.18,-0.727,0.848
0.176,-0.754,0.879
0.148,-0.777,0.906
0.125,-0.797,0.934
0.102,-0.809,0.941
0.098,-0.816,0.934
0.066,-0.832,0.926
0.027,-0.828,0.918
-0.004,-0.773,0.93
-0.008,-0.68,0.934
-0.035,-0.594,0.934
-0.105,-0.535,0.941
-0.188,-0.488,0.957
-0.242,-0.473,0.973
-0.262,-0.473,0.992
-0.266,-0.492,1.008
-0.25,-0.52,1.008
-0.227,-0.543,1.004
-0.188,-0.566,0.98
-0.156,-0.582,0.953
-0.133,-0.586,0.938
-0.117,-0.578,0.926
-0.09,-0.582,0.922
-0.082,-0.578,0.918
-0.074,-0.574,0.922
-0.059,-0.551,0.926
-0.043,-0.52,0.918
-0.027,-0.492,0.91
-0.012,-0.473,0.895
-0.004,-0.473,0.871
0.016,-0.496,0.855
0.027,-0.5,0.84
0.027,-0.512,0.824
0.027,-0.523,0.801
0.031,-0.539,0.773
0.039,-0.559,0.75
0.047,-0.582,0.73
0.051,-0.605,0.707
0.043,-0.621,0.691
0.031,-0.633,0.668
0.023,-0.641,0.656
0.008,-0.641,0.645
-0.004,-0.641,0.633
-0.008,-0.641,0.621
-0.02,-0.652,0.621
-0.023,-0.672,0.621
-0.039,-0.688,0.633
-0.055,-0.684,0.648
-0.063,-0.652,0.676
-0.059,-0.641,0.707
-0.051,-0.648,0.727
-0.059,-0.676,0.742
-0.063,-0.715,0.762
-0.063,-0.734,0.801
-0.07,-0.742,0.844
-0.09,-0.758,0.887
-0.098,-0.77,0.914
-0.094,-0.785,0.93
-0.059,-0.793,0.945
-0.004,-0.773,0.961
0.031,-0.727,0.969
0.047,-0.66,0.973
0.059,-0.598,0.977
0.09,-0.547,0.98
0.133,-0.512,0.992
0.164,-0.5,0.996
0.172,-0.504,1.004
0.16,-0.523,1.016
0.156,-0.555,1.016
0.168,-0.586,0.988
0.176,-0.602,0.953
0.164,-0.605,0.93
0.176,-0.602,0.93
0.184,-0.598,0.93
0.188,-0.594,0.93
0.164,-0.59,0.934
0.125,-0.594,0.941
0.105,-0.578,0.938
0.109,-0.551,0.922
0.121,-0.531,0.891
0.109,-0.52,0.855
0.086,-0.516,0.824
0.074,-0.508,0.785
0.078,-0.5,0.758
0.074,-0.5,0.738
0.063,-0.508,0.719
0.059,-0.52,0.703
0.051,-0.539,0.691
0.055,-0.555,0.688
0.055,-0.566,0.684
0.055,-0.586,0.684
0.063,-0.602,0.68
0.059,-0.613,0.68
0.063,-0.621,0.68
0.059,-0.617,0.672
0.066,-0.617,0.676
0.082,-0.625,0.688
0.105,-0.637,0.695
0.129,-0.664,0.699
0.141,-0.684,0.715
0.145,-0.695,0.73
0.141,-0.699,0.746
0.141,-0.715,0.758
0.141,-0.727,0.777
0.145,-0.73,0.801
0.141,-0.734,0.832
0.129,-0.75,0.867
0.129,-0.773,0.879
0.125,-0.801,0.895
0.121,-0.824,0.895
0.117,-0.836,0.883
0.078,-0.816,0.895
0.004,-0.781,0.93
-0.063,-0.734,0.977
-0.09,-0.684,1.008
-0.121,-0.656,1.02
-0.137,-0.625,0.996
-0.133,-0.582,0.969
-0.117,-0.531,0.938
-0.098,-0.477,0.914
-0.102,-0.445,0.906
-0.121,-0.438,0.918
-0.137,-0.477,0.953
-0.16,-0.516,0.969
-0.18,-0.539,0.988
-0.176,-0.555,0.988
-0.148,-0.566,0.977
-0.117,-0.582,0.965
-0.082,-0.586,0.961
-0.043,-0.59,0.953
0.0,-0.59,0.949
0.035,-0.566,0.949
0.055,-0.547,0.941
0.059,-0.535,0.938
0.063,-0.531,0.918
0.066,-0.527,0.895
0.07,-0.527,0.875
0.07,-0.527,0.844
0.082,-0.523,0.816
0.086,-0.527,0.781
0.078,-0.543,0.75
0.074,-0.559,0.715
0.066,-0.57,0.691
0.063,-0.566,0.676
0.055,-0.563,0.664
0.047,-0.566,0.656
0.039,-0.582,0.652
0.031,-0.605,0.645
0.016,-0.629,0.645
0.0,-0.641,0.648
-0.008,-0.641,0.664
-0.012,-0.637,0.672
-0.012,-0.645,0.68
-0.023,-0.652,0.684
-0.027,-0.66,0.691
-0.027,-0.664,0.711
-0.02,-0.684,0.715
-0.023,-0.691,0.719
-0.047,-0.707,0.723
-0.07,-0.734,0.742
-0.082,-0.773,0.777
-0.055,-0.805,0.855
-0.004,-0.789,0.945
0.027,-0.738,1.039
0.02,-0.688,1.098
0.004,-0.652,1.117
0.0,-0.633,1.105
0.031,-0.641,1.082
0.074,-0.621,1.051
0.105,-0.578,1.027
0.141,-0.535,1.008
0.168,-0.508,1.004
0.215,-0.504,1.004
0.25,-0.523,0.984
0.258,-0.543,0.973
0.242,-0.543,0.953
0.219,-0.527,0.938
0.199,-0.512,0.926
0.199,-0.5,0.91
0.191,-0.508,0.898
0.168,-0.52,0.906
0.137,-0.527,0.906
0.129,-0.527,0.902
0.148,-0.508,0.895
0.16,-0.492,0.875
0.16,-0.477,0.852
0.148,-0.469,0.836
0.141,-0.477,0.813
0.133,-0.48,0.789
0.121,-0.488,0.766
0.117,-0.5,0.754
0.098,-0.523,0.738
0.078,-0.535,0.73
0.063,-0.543,0.719
0.059,-0.547,0.715
0.059,-0.555,0.711
0.07,-0.566,0.707
0.082,-0.586,0.711
0.102,-0.598,0.715
0.102,-0.613,0.723
0.109,-0.637,0.734
0.125,-0.648,0.746
0.137,-0.664,0.758
0.148,-0.672,0.762
0.148,-0.68,0.766
0.148,-0.688,0.773
0.141,-0.715,0.773
0.145,-0.738,0.773
0.156,-0.754,0.789
0.156,-0.758,0.816
0.141,-0.77,0.852
0.129,-0.789,0.895
0.137,-0.813,0.918
0.156,-0.82,0.922
0.168,-0.805,0.914
0.148,-0.785,0.902
0.121,-0.773,0.891
0.105,-0.801,0.871
0.063,-0.824,0.855
-0.023,-0.77,0.859
-0.031,-0.645,0.859
-0.004,-0.535,0.852
-0.047,-0.496,0.852
-0.133,-0.477,0.887
-0.18,-0.457,0.926
-0.184,-0.434,0.965
-0.176,-0.41,0.98
-0.16,-0.41,0.973
-0.152,-0.438,0.938
-0.145,-0.492,0.895
-0.125,-0.543,0.875
-0.105,-0.566,0.879
-0.086,-0.574,0.898
-0.086,-0.578,0.922
-0.086,-0.598,0.934
-0.07,-0.598,0.938
-0.039,-0.578,0.945
-0.008,-0.555,0.945
0.004,-0.535,0.938
0.004,-0.523,0.922
0.008,-0.523,0.91
0.016,-0.52,0.891
0.027,-0.523,0.879
0.027,-0.523,0.855
0.035,-0.535,0.828
0.039,-0.543,0.801
0.051,-0.551,0.766
0.07,-0.559,0.738
0.082,-0.563,0.715
0.082,-0.563,0.695
0.086,-0.566,0.688
0.074,-0.563,0.676
0.055,-0.566,0.668
0.035,-0.586,0.648
0.02,-0.609,0.625
0.012,-0.645,0.605
-0.004,-0.68,0.602
-0.012,-0.707,0.605
-0.023,-0.719,0.621
-0.035,-0.73,0.648
-0.039,-0.727,0.68
-0.043,-0.715,0.723
-0.055,-0.688,0.754
-0.07,-0.68,0.801
-0.078,-0.688,0.832
-0.07,-0.73,0.859
-0.082,-0.789,0.883
-0.102,-0.836,0.926
-0.113,-0.879,0.965
-0.102,-0.887,1.0
-0.051,-0.879,1.051
0.012,-0.828,1.078
0.074,-0.758,1.098
0.082,-0.668,1.082
0.074,-0.59,1.039
0.094,-0.531,0.984
0.129,-0.48,0.934
0.156,-0.434,0.906
0.176,-0.402,0.902
0.172,-0.395,0.922
0.16,-0.414,0.953
0.152,-0.457,0.977
0.16,-0.5,0.98
0.168,-0.531,0.961
0.176,-0.547,0.941
0.188,-0.543,0.918
0.195,-0.539,0.906
0.184,-0.551,0.902
0.152,-0.57,0.895
0.129,-0.57,0.895
0.133,-0.551,0.898
0.152,-0.531,0.883
0.152,-0.527,0.855
0.137,-0.547,0.816
0.105,-0.559,0.793
0.082,-0.559,0.773
0.066,-0.555,0.762
0.043,-0.547,0.742
0.023,-0.547,0.723
0.016,-0.551,0.699
0.023,-0.559,0.68
0.039,-0.566,0.668
0.055,-0.574,0.648
0.059,-0.578,0.625
0.047,-0.594,0.613
0.047,-0.617,0.602
0.059,-0.629,0.605
0.074,-0.637,0.617
0.098,-0.648,0.641
0.129,-0.668,0.676
0.145,-0.707,0.715
0.148,-0.746,0.75
0.148,-0.781,0.785
0.145,-0.793,0.82
0.141,-0.777,0.855
0.129,-0.762,0.879
0.105,-0.766,0.891
0.074,-0.773,0.898
0.059,-0.781,0.91
0.047,-0.793,0.922
0.031,-0.797,0.941
0.023,-0.82,0.949
-0.004,-0.836,0.961
-0.074,-0.816,0.984
-0.098,-0.742,1.008
-0.074,-0.668,1.004
-0.078,-0.609,0.973
-0.098,-0.563,0.945
-0.098,-0.508,0.934
-0.082,-0.48,0.91
-0.078,-0.469,0.906
-0.098,-0.461,0.91
-0.125,-0.461,0.922
-0.156,-0.484,0.922
-0.184,-0.508,0.914
-0.188,-0.527,0.895
-0.16,-0.547,0.895
-0.109,-0.559,0.898
-0.07,-0.578,0.898
-0.035,-0.59,0.906
-0.012,-0.578,0.918
0.004,-0.563,0.922
0.0,-0.547,0.922
-0.016,-0.539,0.918
-0.023,-0.539,0.906
-0.02,-0.539,0.898
-0.012,-0.531,0.879
0.0,-0.52,0.855
0.008,-0.52,0.832
0.016,-0.52,0.809
0.016,-0.531,0.789
0.023,-0.543,0.762
0.023,-0.555,0.742
0.023,-0.566,0.727
0.023,-0.578,0.699
0.023,-0.59,0.688
0.027,-0.598,0.68
0.039,-0.605,0.668
0.035,-0.609,0.668
0.031,-0.605,0.672
0.02,-0.602,0.668
0.008,-0.602,0.672
0.0,-0.609,0.668
-0.008,-0.621,0.66
-0.023,-0.617,0.664
-0.051,-0.629,0.672
-0.063,-0.66,0.676
-0.059,-0.707,0.691
-0.047,-0.773,0.703
-0.039,-0.832,0.723
-0.055,-0.887,0.75
-0.078,-0.918,0.789
-0.055,-0.945,0.879
0.004,-0.938,0.977
0.063,-0.891,1.063
0.059,-0.813,1.133
0.043,-0.742,1.156
0.035,-0.668,1.129
0.039,-0.613,1.078
0.059,-0.566,1.016
0.078,-0.508,0.977
0.102,-0.461,0.941
0.125,-0.438,0.926
0.156,-0.453,0.926
0.191,-0.484,0.914
0.203,-0.512,0.898
0.191,-0.512,0.898
0.188,-0.5,0.887
0.199,-0.488,0.879
0.203,-0.508,0.883
0.199,-0.547,0.887
0.168,-0.59,0.891
0.141,-0.605,0.898
0.145,-0.59,0.906
0.168,-0.57,0.902
0.176,-0.57,0.875
0.164,-0.582,0.84
0.145,-0.586,0.801
0.129,-0.574,0.773
0.109,-0.563,0.75
0.098,-0.547,0.73
0.074,-0.543,0.703
0.066,-0.547,0.688
0.066,-0.566,0.68
0.07,-0.586,0.668
0.09,-0.605,0.664
0.117,-0.629,0.66
0.129,-0.645,0.652
0.129,-0.652,0.66
0.125,-0.66,0.672
0.117,-0.66,0.68
0.105,-0.645,0.695
0.094,-0.641,0.711
0.074,-0.641,0.723
0.078,-0.66,0.727
0.098,-0.688,0.738
0.117,-0.715,0.742
0.141,-0.711,0.762
0.145,-0.695,0.785
0.145,-0.684,0.801
0.141,-0.691,0.82
0.125,-0.715,0.836
0.129,-0.754,0.852
0.121,-0.781,0.863
0.105,-0.797,0.871
0.102,-0.809,0.863
0.125,-0.828,0.844
0.133,-0.848,0.824
0.094,-0.855,0.84
0.016,-0.824,0.871
-0.012,-0.754,0.914
-0.02,-0.699,0.945
-0.078,-0.652,0.977
-0.145,-0.582,1.0
-0.172,-0.504,1.027
-0.18,-0.453,1.039
-0.195,-0.438,1.039
-0.195,-0.449,1.016
-0.168,-0.465,0.977
-0.137,-0.492,0.934
-0.109,-0.516,0.887
-0.086,-0.535,0.855
-0.082,-0.551,0.852
-0.09,-0.563,0.863
-0.102,-0.578,0.883
-0.105,-0.578,0.898
-0.098,-0.563,0.898
-0.066,-0.551,0.891
-0.027,-0.539,0.879
-0.004,-0.531,0.867
0.008,-0.527,0.859
0.02,-0.523,0.855
0.02,-0.531,0.84
0.023,-0.539,0.828
0.023,-0.547,0.813
0.027,-0.559,0.793
0.035,-0.566,0.758
0.047,-0.57,0.734
0.047,-0.57,0.711
0.043,-0.57,0.703
0.035,-0.578,0.699
0.027,-0.59,0.691
0.023,-0.594,0.699
0.023,-0.598,0.703
0.012,-0.602,0.707
0.0,-0.605,0.703
-0.004,-0.609,0.695
-0.008,-0.617,0.691
-0.02,-0.621,0.684
-0.031,-0.629,0.688
-0.043,-0.648,0.695
-0.063,-0.668,0.703
-0.063,-0.703,0.715
-0.063,-0.711,0.727
-0.07,-0.703,0.742
-0.074,-0.699,0.754
-0.074,-0.695,0.77
-0.059,-0.703,0.777
-0.063,-0.742,0.805
-0.059,-0.785,0.82
-0.063,-0.832,0.84
-0.059,-0.871,0.863
-0.059,-0.891,0.891
-0.035,-0.875,0.934
0.0,-0.809,0.984
0.016,-0.738,1.023
0.02,-0.68,1.043
0.043,-0.617,1.031
0.074,-0.555,1.023
0.105,-0.508,1.016
0.129,-0.473,1.008
0.141,-0.445,1.008
0.152,-0.426,1.023
0.156,-0.434,1.031
0.156,-0.449,1.035
0.152,-0.48,1.027
0.152,-0.508,1.008
0.152,-0.527,0.965
0.156,-0.531,0.926
0.164,-0.527,0.91
0.156,-0.531,0.902
