x_acc,y_acc,z_acc
0.027,-0.766,0.668
0.031,-0.766,0.668
0.031,-0.766,0.668
0.039,-0.762,0.672
0.047,-0.754,0.668
0.047,-0.754,0.668
0.047,-0.758,0.672
0.043,-0.75,0.672
0.047,-0.746,0.672
0.047,-0.746,0.684
0.047,-0.734,0.684
0.043,-0.727,0.684
0.051,-0.723,0.68
0.051,-0.73,0.688
0.051,-0.734,0.688
0.051,-0.73,0.688
0.047,-0.727,0.691
0.051,-0.723,0.703
0.043,-0.723,0.707
0.035,-0.719,0.699
0.031,-0.715,0.703
0.031,-0.707,0.703
0.031,-0.707,0.703
0.031,-0.711,0.703
0.039,-0.715,0.711
0.047,-0.707,0.715
0.047,-0.703,0.719
0.043,-0.703,0.719
0.047,-0.703,0.723
0.047,-0.707,0.723
0.043,-0.715,0.719
0.043,-0.727,0.719
0.043,-0.727,0.719
0.043,-0.715,0.719
0.047,-0.703,0.719
0.047,-0.691,0.719
0.043,-0.684,0.715
0.047,-0.684,0.711
0.043,-0.691,0.711
0.043,-0.695,0.703
0.047,-0.695,0.703
0.047,-0.684,0.703
0.027,-0.676,0.699
0.039,-0.672,0.703
0.031,-0.676,0.688
0.039,-0.684,0.707
0.035,-0.715,0.715
0.027,-0.711,0.707
0.031,-0.703,0.703
0.027,-0.688,0.703
0.027,-0.684,0.703
0.031,-0.684,0.703
0.031,-0.688,0.703
0.031,-0.695,0.703
0.027,-0.707,0.703
0.027,-0.715,0.695
0.023,-0.719,0.684
0.02,-0.715,0.672
0.023,-0.707,0.66
0.023,-0.703,0.648
0.027,-0.707,0.648
0.043,-0.719,0.648
0.051,-0.734,0.648
0.07,-0.758,0.656
0.082,-0.766,0.66
0.086,-0.77,0.66
0.09,-0.762,0.668
0.094,-0.75,0.684
0.094,-0.742,0.695
0.098,-0.75,0.699
0.098,-0.766,0.703
0.102,-0.789,0.703
0.098,-0.801,0.695
0.09,-0.809,0.695
0.078,-0.793,0.688
0.066,-0.781,0.68
0.066,-0.781,0.668
0.059,-0.785,0.648
0.051,-0.797,0.633
0.043,-0.801,0.617
0.039,-0.789,0.609
0.031,-0.773,0.605
