x_acc,y_acc,z_acc
-0.031,-0.887,0.488
-0.027,-0.883,0.484
-0.023,-0.879,0.48
-0.02,-0.879,0.48
-0.023,-0.879,0.477
-0.023,-0.879,0.473
-0.027,-0.879,0.465
-0.031,-0.883,0.469
-0.031,-0.887,0.469
-0.027,-0.887,0.469
-0.031,-0.887,0.469
-0.027,-0.887,0.469
-0.039,-0.891,0.461
-0.039,-0.887,0.465
-0.039,-0.887,0.457
-0.043,-0.883,0.445
-0.051,-0.879,0.441
-0.059,-0.883,0.438
-0.07,-0.898,0.441
-0.078,-0.914,0.449
-0.082,-0.934,0.457
-0.086,-0.945,0.473
-0.09,-0.961,0.473
-0.09,-0.969,0.48
-0.082,-0.977,0.477
-0.078,-0.98,0.484
-0.074,-0.98,0.484
-0.07,-0.984,0.48
-0.063,-0.98,0.477
-0.055,-0.977,0.465
-0.047,-0.961,0.465
-0.039,-0.949,0.457
-0.035,-0.949,0.457
-0.035,-0.938,0.457
-0.031,-0.934,0.453
-0.031,-0.922,0.449
-0.035,-0.906,0.449
-0.039,-0.902,0.457
-0.043,-0.891,0.465
-0.055,-0.887,0.469
-0.066,-0.883,0.473
-0.07,-0.875,0.477
-0.078,-0.871,0.48
-0.078,-0.859,0.484
-0.078,-0.852,0.492
-0.086,-0.848,0.496
-0.082,-0.848,0.492
-0.086,-0.852,0.492
-0.082,-0.848,0.48
-0.082,-0.863,0.48
-0.082,-0.867,0.48
-0.086,-0.871,0.477
-0.086,-0.875,0.465
-0.098,-0.875,0.461
-0.102,-0.879,0.465
-0.109,-0.887,0.461
-0.117,-0.891,0.461
-0.117,-0.891,0.465
-0.117,-0.891,0.461
-0.121,-0.891,0.461
-0.121,-0.902,0.473
-0.121,-0.906,0.477
-0.137,-0.918,0.484
-0.137,-0.93,0.496
-0.145,-0.93,0.5
-0.156,-0.941,0.508
-0.164,-0.949,0.516
-0.168,-0.965,0.52
-0.176,-0.973,0.527
-0.18,-0.973,0.531
-0.188,-0.973,0.535
-0.191,-0.98,0.539
-0.191,-0.98,0.539
-0.191,-0.969,0.535
-0.195,-0.957,0.539
-0.207,-0.945,0.539
-0.215,-0.934,0.543
-0.223,-0.938,0.559
-0.227,-0.961,0.563
-0.207,-1.0,0.574
-0.168,-1.012,0.582
-0.129,-0.984,0.594
-0.102,-0.93,0.598
-0.086,-0.902,0.605
-0.066,-0.91,0.613
-0.035,-0.914,0.613
-0.008,-0.891,0.613
0.027,-0.832,0.609
0.043,-0.762,0.609
0.051,-0.711,0.602
0.063,-0.688,0.598
0.066,-0.688,0.602
0.063,-0.715,0.613
0.055,-0.742,0.633
0.039,-0.758,0.645
0.016,-0.762,0.66
0.0,-0.754,0.688
-0.02,-0.75,0.707
-0.031,-0.762,0.727
-0.043,-0.785,0.738
-0.047,-0.801,0.734
-0.055,-0.813,0.715
-0.051,-0.809,0.68
-0.047,-0.797,0.648
-0.039,-0.789,0.617
-0.031,-0.797,0.594
-0.023,-0.801,0.566
-0.016,-0.797,0.555
-0.02,-0.793,0.539
-0.023,-0.777,0.52
-0.031,-0.766,0.512
-0.035,-0.758,0.508
-0.051,-0.758,0.504
-0.043,-0.758,0.516
-0.043,-0.754,0.512
-0.039,-0.75,0.512
-0.039,-0.75,0.512
-0.035,-0.746,0.512
-0.031,-0.75,0.508
-0.035,-0.766,0.504
-0.035,-0.773,0.504
-0.031,-0.785,0.504
-0.023,-0.785,0.508
-0.02,-0.789,0.508
-0.016,-0.789,0.512
-0.012,-0.785,0.52
-0.008,-0.789,0.531
-0.004,-0.793,0.551
0.0,-0.797,0.566
0.008,-0.805,0.582
0.02,-0.824,0.602
0.039,-0.844,0.629
0.055,-0.883,0.645
0.082,-0.922,0.656
0.102,-0.945,0.66
0.109,-0.957,0.676
0.09,-0.977,0.695
0.055,-1.039,0.719
-0.004,-1.156,0.758
-0.074,-1.246,0.789
-0.148,-1.199,0.809
-0.195,-1.023,0.813
-0.219,-0.852,0.816
-0.227,-0.734,0.801
-0.227,-0.68,0.789
-0.207,-0.672,0.781
-0.18,-0.707,0.773
-0.145,-0.758,0.762
-0.113,-0.789,0.75
-0.094,-0.793,0.734
-0.078,-0.777,0.73
-0.063,-0.773,0.738
-0.031,-0.789,0.754
0.0,-0.809,0.77
0.02,-0.813,0.766
0.039,-0.789,0.742
0.047,-0.738,0.715
0.039,-0.684,0.684
0.035,-0.645,0.656
0.023,-0.625,0.617
0.016,-0.625,0.582
0.016,-0.637,0.551
0.008,-0.652,0.512
0.012,-0.664,0.5
-0.008,-0.672,0.477
-0.027,-0.676,0.469
-0.051,-0.684,0.469
-0.074,-0.688,0.469
-0.082,-0.691,0.469
-0.094,-0.688,0.473
