x_acc,y_acc,z_acc
0.172,-0.004,1.023
0.172,-0.004,1.012
0.168,0.012,1.008
0.164,0.02,1.0
0.18,0.008,1.0
0.188,0.0,1.0
0.195,-0.02,0.996
0.199,-0.031,1.0
0.191,-0.039,1.012
0.191,-0.047,1.008
0.191,-0.055,1.008
0.184,-0.055,1.004
0.176,-0.055,1.016
0.176,-0.051,1.023
0.184,-0.059,1.027
0.199,-0.055,1.031
0.215,-0.043,1.031
0.223,-0.023,1.043
0.219,-0.008,1.047
0.215,0.0,1.051
0.207,0.004,1.055
0.195,-0.004,1.059
0.191,-0.004,1.059
0.195,0.0,1.051
0.203,0.0,1.051
0.207,0.004,1.047
0.207,0.008,1.055
0.203,0.016,1.059
0.199,0.02,1.063
0.191,0.016,1.059
0.191,0.016,1.055
0.195,0.016,1.047
0.203,0.02,1.047
0.219,0.02,1.047
0.219,0.016,1.047
0.211,0.012,1.051
0.199,0.008,1.055
0.191,0.012,1.055
0.184,0.02,1.055
0.172,0.027,1.047
0.176,0.031,1.039
0.176,0.035,1.039
0.184,0.031,1.035
0.184,0.031,1.027
0.18,0.035,1.027
0.176,0.043,1.035
0.164,0.059,1.043
0.156,0.063,1.051
0.141,0.059,1.051
0.117,0.063,1.043
0.117,0.051,1.051
0.117,0.039,1.043
0.121,0.031,1.047
0.133,0.027,1.047
0.141,0.027,1.047
0.141,0.031,1.051
0.141,0.047,1.051
0.129,0.055,1.059
0.125,0.055,1.059
0.113,0.051,1.059
0.098,0.039,1.059
0.074,0.02,1.047
0.063,0.004,1.039
0.059,-0.008,1.035
0.063,-0.004,1.031
0.074,0.008,1.031
0.082,0.02,1.031
0.09,0.027,1.039
0.094,0.023,1.051
0.094,0.008,1.066
0.094,0.004,1.07
0.094,-0.008,1.066
0.09,-0.012,1.059
0.086,-0.004,1.047
0.078,0.012,1.055
0.078,0.023,1.051
0.082,0.035,1.055
0.082,0.031,1.059
0.078,0.031,1.059
0.078,0.031,1.059
0.074,0.023,1.059
0.074,0.012,1.059
0.07,0.004,1.059
0.07,0.0,1.059
0.074,-0.004,1.055
0.078,-0.008,1.051
0.074,-0.02,1.047
0.066,-0.02,1.055
0.055,-0.027,1.063
0.051,-0.035,1.066
