x_acc,y_acc,z_acc
-0.168,-0.781,0.602
-0.168,-0.805,0.609
-0.152,-0.809,0.617
-0.129,-0.797,0.613
-0.113,-0.785,0.617
-0.113,-0.777,0.617
-0.121,-0.77,0.617
-0.133,-0.754,0.629
-0.137,-0.746,0.641
-0.152,-0.75,0.652
-0.16,-0.762,0.668
-0.168,-0.781,0.691
-0.18,-0.809,0.711
-0.18,-0.82,0.73
-0.184,-0.82,0.742
-0.18,-0.797,0.75
-0.172,-0.762,0.754
-0.152,-0.738,0.742
-0.152,-0.723,0.727
-0.16,-0.719,0.715
-0.176,-0.707,0.707
-0.199,-0.695,0.707
-0.219,-0.684,0.723
-0.246,-0.668,0.742
-0.242,-0.645,0.773
-0.238,-0.625,0.797
-0.234,-0.613,0.816
-0.227,-0.609,0.82
-0.215,-0.605,0.824
-0.223,-0.613,0.84
-0.246,-0.637,0.848
-0.281,-0.668,0.836
-0.293,-0.711,0.84
-0.285,-0.727,0.844
-0.262,-0.73,0.836
-0.242,-0.73,0.809
-0.223,-0.754,0.773
-0.219,-0.801,0.734
-0.234,-0.844,0.707
-0.266,-0.852,0.691
-0.285,-0.816,0.688
-0.289,-0.777,0.684
-0.273,-0.754,0.691
-0.25,-0.73,0.707
-0.227,-0.711,0.715
-0.211,-0.688,0.715
-0.207,-0.676,0.719
-0.207,-0.672,0.715
-0.219,-0.668,0.711
-0.215,-0.664,0.703
-0.207,-0.672,0.703
-0.199,-0.684,0.703
-0.184,-0.711,0.688
-0.18,-0.742,0.672
-0.203,-0.742,0.664
-0.219,-0.727,0.648
-0.211,-0.73,0.625
-0.207,-0.75,0.602
-0.195,-0.762,0.598
-0.191,-0.766,0.602
-0.215,-0.773,0.613
-0.238,-0.781,0.633
-0.27,-0.777,0.656
-0.289,-0.754,0.688
-0.297,-0.734,0.703
-0.297,-0.719,0.715
-0.273,-0.727,0.723
-0.258,-0.746,0.742
-0.238,-0.766,0.754
-0.227,-0.773,0.762
-0.211,-0.777,0.762
-0.199,-0.797,0.75
-0.195,-0.84,0.734
-0.219,-0.883,0.715
-0.238,-0.906,0.695
-0.273,-0.898,0.668
-0.301,-0.887,0.641
-0.328,-0.883,0.621
-0.348,-0.867,0.605
-0.379,-0.848,0.59
-0.391,-0.828,0.586
-0.406,-0.797,0.574
-0.406,-0.766,0.57
