x_acc,y_acc,z_acc
-0.043,-0.859,0.543
-0.035,-0.863,0.543
-0.035,-0.863,0.543
-0.035,-0.863,0.543
-0.031,-0.859,0.543
-0.035,-0.855,0.543
-0.039,-0.859,0.539
-0.043,-0.863,0.539
-0.043,-0.867,0.535
-0.043,-0.867,0.539
-0.039,-0.859,0.539
-0.047,-0.844,0.539
-0.035,-0.844,0.551
-0.027,-0.84,0.547
-0.027,-0.84,0.547
-0.035,-0.844,0.555
-0.039,-0.844,0.551
-0.039,-0.844,0.559
-0.047,-0.848,0.559
-0.051,-0.855,0.559
-0.055,-0.867,0.559
-0.055,-0.875,0.555
-0.047,-0.879,0.547
-0.043,-0.875,0.543
-0.043,-0.867,0.539
-0.039,-0.852,0.547
-0.039,-0.832,0.543
-0.051,-0.82,0.555
-0.059,-0.82,0.559
-0.074,-0.824,0.57
-0.094,-0.836,0.582
-0.113,-0.859,0.586
-0.129,-0.871,0.59
-0.137,-0.879,0.594
-0.141,-0.895,0.594
-0.137,-0.906,0.586
-0.121,-0.902,0.578
-0.109,-0.895,0.566
-0.09,-0.887,0.555
-0.074,-0.879,0.539
-0.07,-0.871,0.52
-0.066,-0.859,0.504
-0.063,-0.859,0.5
-0.055,-0.859,0.504
-0.063,-0.859,0.504
-0.07,-0.863,0.504
-0.078,-0.867,0.508
-0.094,-0.871,0.508
-0.105,-0.875,0.508
-0.129,-0.879,0.508
-0.137,-0.883,0.508
-0.145,-0.887,0.5
-0.141,-0.887,0.504
-0.137,-0.891,0.504
-0.125,-0.891,0.504
-0.121,-0.883,0.5
-0.129,-0.883,0.492
-0.129,-0.879,0.492
-0.133,-0.875,0.496
-0.145,-0.879,0.504
-0.145,-0.879,0.508
-0.156,-0.883,0.516
-0.145,-0.879,0.535
-0.148,-0.871,0.535
-0.148,-0.871,0.539
-0.148,-0.867,0.543
-0.145,-0.867,0.543
-0.145,-0.871,0.539
-0.145,-0.875,0.535
-0.145,-0.879,0.527
-0.145,-0.883,0.527
-0.145,-0.891,0.523
-0.148,-0.895,0.52
-0.16,-0.891,0.512
-0.164,-0.887,0.512
-0.176,-0.895,0.508
-0.188,-0.91,0.504
-0.188,-0.93,0.504
-0.188,-0.945,0.504
-0.176,-0.961,0.512
-0.168,-0.977,0.52
-0.148,-1.004,0.539
-0.133,-1.047,0.559
-0.113,-1.094,0.566
-0.082,-1.098,0.566
-0.063,-1.051,0.563
-0.059,-0.977,0.555
-0.059,-0.902,0.543
-0.047,-0.836,0.527
-0.043,-0.785,0.504
-0.031,-0.754,0.484
-0.023,-0.738,0.465
-0.008,-0.738,0.461
0.004,-0.746,0.461
0.016,-0.773,0.465
0.027,-0.805,0.484
0.039,-0.828,0.52
0.047,-0.848,0.551
0.035,-0.871,0.566
0.012,-0.906,0.574
-0.008,-0.934,0.594
-0.023,-0.934,0.59
-0.039,-0.93,0.582
-0.043,-0.922,0.578
-0.039,-0.91,0.57
-0.039,-0.898,0.555
-0.031,-0.898,0.539
-0.02,-0.863,0.52
-0.008,-0.828,0.508
0.0,-0.805,0.5
-0.004,-0.789,0.484
-0.016,-0.77,0.473
-0.016,-0.758,0.469
-0.016,-0.754,0.445
-0.027,-0.754,0.441
-0.023,-0.777,0.445
-0.008,-0.824,0.441
0.008,-0.852,0.457
0.004,-0.84,0.48
-0.004,-0.824,0.5
0.008,-0.82,0.523
0.016,-0.816,0.523
0.012,-0.824,0.531
0.012,-0.836,0.535
0.012,-0.859,0.535
0.012,-0.883,0.535
0.02,-0.906,0.535
0.039,-0.918,0.523
0.055,-0.93,0.516
0.051,-0.934,0.5
0.043,-0.922,0.492
0.031,-0.914,0.492
0.02,-0.898,0.48
0.012,-0.879,0.48
0.0,-0.859,0.492
0.004,-0.906,0.512
-0.012,-1.098,0.555
-0.121,-1.324,0.574
-0.242,-1.387,0.594
-0.273,-1.25,0.609
-0.238,-1.098,0.609
-0.195,-0.98,0.609
-0.176,-0.902,0.605
-0.184,-0.867,0.602
-0.188,-0.867,0.586
-0.203,-0.875,0.586
-0.215,-0.887,0.586
-0.215,-0.898,0.605
-0.203,-0.898,0.633
-0.191,-0.883,0.66
-0.168,-0.871,0.672
-0.141,-0.832,0.664
-0.113,-0.777,0.648
-0.098,-0.723,0.629
-0.094,-0.695,0.605
-0.098,-0.684,0.574
-0.098,-0.695,0.535
-0.094,-0.707,0.504
-0.102,-0.719,0.48
-0.117,-0.73,0.457
-0.129,-0.738,0.445
-0.152,-0.758,0.441
-0.156,-0.777,0.453
-0.168,-0.785,0.461
-0.176,-0.801,0.473
-0.176,-0.805,0.473
-0.164,-0.805,0.477
-0.148,-0.793,0.48
-0.137,-0.777,0.492
-0.125,-0.77,0.492
-0.125,-0.773,0.496
-0.133,-0.781,0.484
-0.145,-0.793,0.48
-0.148,-0.801,0.477
-0.168,-0.801,0.473
-0.195,-0.816,0.473
-0.219,-0.836,0.48
-0.246,-0.859,0.488
-0.266,-0.895,0.5
-0.281,-0.926,0.512
-0.289,-0.945,0.523
-0.289,-0.961,0.535
-0.281,-0.957,0.551
-0.27,-0.953,0.555
-0.262,-0.949,0.555
-0.277,-0.957,0.543
-0.289,-0.98,0.523
-0.289,-1.039,0.516
-0.258,-1.156,0.527
-0.203,-1.324,0.566
-0.125,-1.387,0.594
-0.043,-1.242,0.633
0.0,-1.035,0.66
-0.008,-0.902,0.652
-0.008,-0.879,0.609
0.004,-0.871,0.57
0.016,-0.848,0.543
0.035,-0.832,0.52
0.066,-0.824,0.504
0.082,-0.82,0.5
0.094,-0.813,0.516
0.105,-0.828,0.543
0.098,-0.836,0.574
0.074,-0.84,0.602
0.043,-0.828,0.617
0.008,-0.785,0.617
-0.02,-0.742,0.609
-0.039,-0.719,0.602
-0.055,-0.727,0.594
-0.055,-0.742,0.582
-0.063,-0.75,0.578
-0.059,-0.746,0.559
-0.043,-0.746,0.547
-0.027,-0.742,0.523
-0.012,-0.754,0.512
0.012,-0.773,0.5
0.027,-0.77,0.48
0.027,-0.762,0.469
0.02,-0.766,0.457
0.0,-0.773,0.434
-0.027,-0.797,0.418
-0.063,-0.809,0.418
-0.078,-0.805,0.43
-0.074,-0.789,0.453
-0.059,-0.797,0.473
-0.031,-0.824,0.488
0.008,-0.836,0.512
0.043,-0.836,0.527
0.055,-0.832,0.547
0.059,-0.84,0.555
0.055,-0.855,0.563
0.039,-0.879,0.57
0.008,-0.902,0.582
-0.016,-0.91,0.59
-0.02,-0.898,0.59
0.0,-0.895,0.582
0.016,-0.898,0.57
0.023,-0.91,0.563
0.031,-0.918,0.531
0.039,-0.926,0.504
0.051,-0.938,0.469
0.051,-0.957,0.434
0.035,-0.996,0.41
0.02,-1.016,0.398
0.0,-1.02,0.398
-0.035,-1.066,0.418
-0.098,-1.156,0.43
-0.188,-1.227,0.41
-0.266,-1.207,0.402
-0.301,-1.086,0.43
-0.277,-0.945,0.492
-0.199,-0.848,0.582
-0.109,-0.809,0.656
-0.094,-0.84,0.676
-0.121,-0.914,0.715
-0.141,-0.977,0.738
-0.168,-1.027,0.738
-0.18,-1.059,0.727
-0.176,-1.055,0.699
-0.152,-1.02,0.66
-0.145,-0.973,0.621
-0.148,-0.934,0.582
-0.133,-0.895,0.551
-0.121,-0.832,0.508
-0.113,-0.766,0.48
-0.109,-0.719,0.453
-0.102,-0.691,0.434
-0.102,-0.676,0.41
-0.098,-0.668,0.391
-0.078,-0.656,0.395
-0.059,-0.66,0.41
-0.07,-0.676,0.426
-0.086,-0.695,0.426
-0.109,-0.727,0.434
-0.125,-0.758,0.445
-0.125,-0.766,0.457
-0.129,-0.766,0.473
-0.137,-0.777,0.488
-0.137,-0.805,0.492
-0.129,-0.816,0.5
-0.125,-0.813,0.508
-0.125,-0.801,0.527
-0.121,-0.797,0.543
-0.121,-0.805,0.555
-0.148,-0.832,0.547
-0.195,-0.863,0.535
-0.242,-0.895,0.527
-0.281,-0.93,0.527
-0.281,-0.953,0.539
-0.266,-0.953,0.555
-0.262,-0.945,0.574
-0.25,-0.918,0.578
-0.238,-0.91,0.566
-0.234,-0.906,0.559
-0.219,-0.895,0.535
-0.223,-0.875,0.496
-0.23,-0.871,0.453
-0.238,-0.887,0.426
-0.227,-0.957,0.441
-0.199,-1.141,0.492
-0.129,-1.324,0.551
-0.004,-1.262,0.586
0.078,-1.039,0.625
0.07,-0.852,0.637
0.035,-0.77,0.641
0.012,-0.754,0.645
0.02,-0.777,0.656
0.02,-0.832,0.672
0.035,-0.891,0.688
0.043,-0.934,0.703
0.023,-0.965,0.715
-0.016,-0.996,0.715
-0.031,-1.008,0.688
-0.043,-0.961,0.656
-0.043,-0.887,0.629
-0.043,-0.82,0.602
-0.055,-0.785,0.566
-0.055,-0.754,0.539
-0.055,-0.719,0.508
-0.059,-0.695,0.484
-0.063,-0.672,0.465
-0.047,-0.652,0.449
-0.031,-0.637,0.441
-0.027,-0.641,0.43
-0.016,-0.652,0.422
0.0,-0.668,0.406
-0.004,-0.695,0.398
-0.012,-0.727,0.406
0.0,-0.77,0.418
0.008,-0.805,0.426
-0.004,-0.82,0.438
-0.023,-0.824,0.461
-0.035,-0.832,0.48
-0.039,-0.852,0.496
-0.039,-0.863,0.516
-0.031,-0.887,0.527
-0.02,-0.902,0.547
0.0,-0.895,0.574
0.027,-0.883,0.598
0.055,-0.887,0.605
0.074,-0.902,0.613
0.09,-0.906,0.617
0.098,-0.926,0.613
0.098,-0.957,0.594
0.074,-0.977,0.563
0.063,-0.98,0.543
0.063,-0.977,0.516
0.074,-0.977,0.492
0.078,-0.965,0.473
0.078,-0.953,0.461
0.078,-0.957,0.465
0.07,-1.023,0.477
0.027,-1.145,0.492
-0.059,-1.258,0.504
-0.141,-1.23,0.535
-0.184,-1.105,0.613
-0.176,-0.957,0.711
-0.129,-0.848,0.801
-0.094,-0.813,0.84
-0.078,-0.84,0.848
-0.074,-0.891,0.832
-0.102,-0.945,0.805
-0.105,-0.988,0.762
